TACODE,TANAME,TAVERSION,NUMBER OF ALL ADDRESSES,NUMBER OF FULLY REGISTERED PROPERTIES,NUMBER OF EDW PROPERTIES,PROPS POTENTIALLY WARNED
012FWCTL05B,"Lancashire coastline at Sunderland, between Sunderland Brows Farm and Hawthorne Caravan Park",4,,,,
012FWCTL09A,Lancashire coastline at Fleetwood,11,813,40,433,473
012FWCTL09B,"Lancashire coastline at Fleetwood, between Amounderness Way and the coast",4,6902,491,4723,5214
012FWCTL10A,"Lancashire coastline at Cleveleys, around Princes Way, Promenade North and Jubilee Gardens",4,193,11,105,116
012FWCTL10B,"Lancashire coastline at Cleveleys, between Rossall Beach and Anchorsholme",3,9428,906,6222,7128
012FWCTL12A,"Lancashire coastline at Blackpool, along the Promenade from Little Bispham to Squires Gate",14,581,14,298,312
012FWCTL12B,"Lancashire coastline at Blackpool, bordering Revoe and the A5099",3,197,2,123,125
012FWCTL13A,"Lancashire coastline at Lytham St. Annes, along the coast from Squires Gate to Warton Bank",16,44,5,11,16
012FWCTL13B,"Lancashire coastline at Lytham St. Annes, between Lytham Hall Park and Warton Bank",5,1205,195,771,966
012FWCTL14A,"Lancashire coastline at Clifton Marsh, adjacent to Freckleton Pool",12,,,,
012FWCTL14B,"Lancashire coastline at Clifton Marsh, between Freckleton and Savick Brook",12,21,13,2,15
012FWCTL17A,"Merseyside coastline at Southport, affecting Marine Drive",13,,,,
012FWCTL17B,"Merseyside coastline at Southport, between A565 and Marine Drive",4,6458,371,4730,5101
012FWCTL18A,Merseyside coastline at Crosby,9,,,,
012FWCTL19A,"Lancashire coastline at Over Wyre, affecting Pilling Lane, Knott-End-on-Sea and Cote Walls Farm",2,841,246,357,603
012FWCTL19B,"Lancashire coastline at Over Wyre, between Wrampool Bridge, Preesall and Knott End",3,2439,731,1202,1933
012FWCTL20A,"Ribble estuary at Lower Penwortham, around Leyland Road close to the River Ribble",8,,,,
012FWCTL20B,"Ribble estuary at Lower Penwortham, between A582 and the railway line",11,965,492,325,817
012FWCTL21A,Wyre estuary at Burn Naze,4,1680,61,1241,1302
012FWCTL22A,"Lancashire coastline at Thurnham, around Cockersands Abbey, Thurnham Moss and Conder Green",13,28,22,0,22
012FWCTL22B,"Lancashire coastline at Thurnham, between Glasson and Marsh Lane A588",5,93,71,15,86
012FWCTL23A,"Lancashire coastline at Hest Bank, around Marine Drive, Coastal Road and railway line",10,20,6,11,17
012FWCTL23B,"Lancashire coastline at Hest Bank, between railway line and Coastal Road",4,,,,
